                                          MasterPlex QT Report By Analyte
    Report Date: 12/9/2005                                                   Run Date: Virtual Plate
    Report Time: 1:06:54 PM                                                  Run Time: Virtual Plate
    Data File: Virtual Plate                                                 Hardware Serial No. : Virtual Plate
    Plate Name: 2005April13 Xenon cyto.mlx                                   Operator: Virtual Plate
    MasterPlex QT Version: 2.0.7.103                                         Analyst: 
                                                                                                      Background:
                                                Analyte Name: GMCSF                              136.333333333333
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        A1             <unnamed> (16989)                    19061                  25883.32          pg/mL      77
        B1             <unnamed> (16990)                  10714.5                   4372.91          pg/mL      68
        C1             <unnamed> (16991)                     4378                   1153.16          pg/mL      77
        D1             <unnamed> (16992)                     1189                    280.18          pg/mL      62
        E1             <unnamed> (16993)                    334.5                     66.32          pg/mL      82
        F1             <unnamed> (16994)                      163                     12.99          pg/mL      76
        G1             <unnamed> (16995)                      151                      8.05          pg/mL      74
        H1             <unnamed> (16996)                     94.5                   <4.8828          pg/mL      50
        A2             <unnamed> (16997)                    17759                  18123.22          pg/mL      82
        B2             <unnamed> (16998)                  11339.5                   4902.04          pg/mL      76
        C2             <unnamed> (16999)                     4930                   1335.72          pg/mL      61
        D2             <unnamed> (17000)                     1326                    313.54          pg/mL      63
        E2             <unnamed> (17001)                      351                     70.88          pg/mL      85
        F2             <unnamed> (17002)                      238                     38.31          pg/mL      96
        G2             <unnamed> (17003)                      208                     28.83          pg/mL      63
        H2             <unnamed> (17004)                      179                     18.96          pg/mL      75
        A3             <unnamed> (17005)                    17605                  17439.34          pg/mL      60
        B3             <unnamed> (17006)                    12288                   5832.73          pg/mL      61
        C3             <unnamed> (17007)                     4721                   1265.18          pg/mL      63
        D3             <unnamed> (17008)                   1449.5                    343.71          pg/mL      96
        E3             <unnamed> (17009)                    415.5                     88.27          pg/mL      78
        F3             <unnamed> (17010)                      211                     29.80          pg/mL      69
        G3             <unnamed> (17011)                      151                      8.05          pg/mL      77
        H3             <unnamed> (17012)                    135.5                   <4.8828          pg/mL      62
        A4             <unnamed> (17013)                      209                      0.00          pg/mL      73
        B4             <unnamed> (17014)                      188                      0.00          pg/mL      91
        C4             <unnamed> (17015)                    151.5                      0.00          pg/mL      50
        D4             <unnamed> (17016)                    118.5                      0.00          pg/mL      68
        E4             <unnamed> (17017)                      957                    223.77          pg/mL      57
        F4             <unnamed> (17018)                     1026                    240.56          pg/mL      57
        G4             <unnamed> (17019)                      829                    192.52          pg/mL      73
        H4             <unnamed> (17020)                   1053.5                    247.25          pg/mL      58
        A5             <unnamed> (17021)                     6135                   1780.09          pg/mL      80
        B5             <unnamed> (17022)                   5797.5                   1648.69          pg/mL      74
        C5             <unnamed> (17023)                     6669                   2000.35          pg/mL      77
        D5             <unnamed> (17024)                     6471                   1916.84          pg/mL      68
        E5             <unnamed> (17025)                       10                   <4.8828          pg/mL     145
        A6             <unnamed> (17026)                     28.5                   <4.8828          pg/mL      72
     Virtual Plate                                 Page - 1 of 41                         2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        B6             <unnamed> (17027)                       33                   <4.8828          pg/mL      95
        C6             <unnamed> (17028)                       49                   <4.8828          pg/mL      66
        D6             <unnamed> (17029)                       33                   <4.8828          pg/mL      57
        E6             <unnamed> (17030)                       28                   <4.8828          pg/mL      19
