                                        MasterPlex QT Report By Analyte
   Report Date: 12/9/2005
     Run Date: 02/11/2005
   Report Time: 1:07:21 PM
     Run Time: 12:05:02 PM
   Data File: Output.csv
     Hardware Serial No. : XXXX2112
   Plate Name: 2005February11
     Operator:
   MasterPlex QT Version: 2.0.7.103 adipokines.mlx
                         Analyst: A. Kay

                          Background: 8.5
                                                 Analyte Name: IL-6
      Well                  Sample Name                      MFI
      Concentration           Unit   Count
        1             <unnamed> (11849)                       18
               8.08          pg/mL      57
        2             <unnamed> (11850)                       17
               7.06          pg/mL      82
        3             <unnamed> (11851)                       21
              11.10          pg/mL      69
        4             <unnamed> (11852)                       18
               8.08          pg/mL      60
        5             <unnamed> (11853)                       19
               9.09          pg/mL      73
        6             <unnamed> (11854)                       20
              10.10          pg/mL      62
